GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:1900047	negative regulation of hemostasis	0.0013039157107150986	0.0013039157107150986	+1	ENSG00000171557,ENSG00000113905,ENSG00000113889
GO:0030195	negative regulation of blood coagulation	0.0013039157107150986	0.0013039157107150986	+1	ENSG00000171557,ENSG00000113905,ENSG00000113889
GO:0050819	negative regulation of coagulation	0.0013039157107150986	0.0013039157107150986	+1	ENSG00000171557,ENSG00000113905,ENSG00000113889
GO:0030193	regulation of blood coagulation	0.001435451062553702	0.001435451062553702	+1	ENSG00000171557,ENSG00000113905,ENSG00000113889
GO:0050818	regulation of coagulation	0.001435451062553702	0.001435451062553702	+1	ENSG00000171557,ENSG00000113905,ENSG00000113889
GO:0061045	negative regulation of wound healing	0.001435451062553702	0.001435451062553702	+1	ENSG00000171557,ENSG00000113905,ENSG00000113889
GO:1900046	regulation of hemostasis	0.001435451062553702	0.001435451062553702	+1	ENSG00000171557,ENSG00000113905,ENSG00000113889
GO:1903035	negative regulation of response to wounding	0.0019884218496221216	0.0019884218496221216	+1	ENSG00000171557,ENSG00000113905,ENSG00000113889
GO:0007162	negative regulation of cell adhesion	0.002036377092211255	0.002036377092211255	+1	ENSG00000171557,ENSG00000113905,ENSG00000113889,ENSG00000108821
GO:0061041	regulation of wound healing	0.004981350692294828	0.004981350692294828	+1	ENSG00000171557,ENSG00000113905,ENSG00000113889
GO:0042730	fibrinolysis	0.0072542255531895545	0.0072542255531895545	+1	ENSG00000171557,ENSG00000113905
GO:1903034	regulation of response to wounding	0.007560309509271284	0.007560309509271284	+1	ENSG00000171557,ENSG00000113905,ENSG00000113889
GO:0060351	cartilage development involved in endochondral bone morphogenesis	0.01126689042193718	0.01126689042193718	+1	ENSG00000149257,ENSG00000108821
GO:0010810	regulation of cell-substrate adhesion	0.015829732181144394	0.015829732181144394	+1	ENSG00000171557,ENSG00000113905,ENSG00000108821
GO:0010543	regulation of platelet activation	0.015829732181144394	0.015829732181144394	+1	ENSG00000171557,ENSG00000113905
GO:0007599	hemostasis	0.015829732181144394	0.015829732181144394	+1	ENSG00000171557,ENSG00000113905,ENSG00000113889
GO:0050817	coagulation	0.015829732181144394	0.015829732181144394	+1	ENSG00000171557,ENSG00000113905,ENSG00000113889
GO:0007596	blood coagulation	0.015829732181144394	0.015829732181144394	+1	ENSG00000171557,ENSG00000113905,ENSG00000113889
GO:0032964	collagen biosynthetic process	0.015829732181144394	0.015829732181144394	+1	ENSG00000149257,ENSG00000108821
GO:0010951	negative regulation of endopeptidase activity	0.01711605741955375	0.01711605741955375	+1	ENSG00000113905,ENSG00000113889,ENSG00000149257
GO:0010466	negative regulation of peptidase activity	0.018019907886253333	0.018019907886253333	+1	ENSG00000113905,ENSG00000113889,ENSG00000149257
GO:0003018	vascular process in circulatory system	0.01960323614151834	0.01960323614151834	+1	ENSG00000171557,ENSG00000092068,ENSG00000113889
GO:0060350	endochondral bone morphogenesis	0.020734197490226987	0.020734197490226987	+1	ENSG00000149257,ENSG00000108821
GO:0030199	collagen fibril organization	0.02610263275145006	0.02610263275145006	+1	ENSG00000149257,ENSG00000108821
GO:0045861	negative regulation of proteolysis	0.030159255514365404	0.030159255514365404	+1	ENSG00000113905,ENSG00000113889,ENSG00000149257
GO:0032963	collagen metabolic process	0.035336177569105606	0.035336177569105606	+1	ENSG00000149257,ENSG00000108821
GO:0060349	bone morphogenesis	0.03660246953117033	0.03660246953117033	+1	ENSG00000149257,ENSG00000108821
GO:0010811	positive regulation of cell-substrate adhesion	0.04338644660843086	0.04338644660843086	+1	ENSG00000171557,ENSG00000113905
GO:1902617	response to fluoride	0.043726709347031135	0.043726709347031135	+1	ENSG00000108821
GO:0035296	regulation of tube diameter	0.043726709347031135	0.043726709347031135	+1	ENSG00000171557,ENSG00000113889
GO:0035150	regulation of tube size	0.043726709347031135	0.043726709347031135	+1	ENSG00000171557,ENSG00000113889
GO:1903801	L-leucine import across plasma membrane	0.043726709347031135	0.043726709347031135	+1	ENSG00000092068
GO:0060718	chorionic trophoblast cell differentiation	0.043726709347031135	0.043726709347031135	+1	ENSG00000163251
GO:1901382	regulation of chorionic trophoblast cell proliferation	0.043726709347031135	0.043726709347031135	+1	ENSG00000163251
GO:0098713	leucine import across plasma membrane	0.043726709347031135	0.043726709347031135	+1	ENSG00000092068
GO:0097746	blood vessel diameter maintenance	0.043726709347031135	0.043726709347031135	+1	ENSG00000171557,ENSG00000113889
GO:0097360	chorionic trophoblast cell proliferation	0.043726709347031135	0.043726709347031135	+1	ENSG00000163251
GO:0030168	platelet activation	0.043726709347031135	0.043726709347031135	+1	ENSG00000171557,ENSG00000113905
GO:0015827	tryptophan transport	0.043726709347031135	0.043726709347031135	+1	ENSG00000092068
GO:1902744	negative regulation of lamellipodium organization	0.04819976620015661	0.04819976620015661	+1	ENSG00000113905
GO:0060312	regulation of blood vessel remodeling	0.04819976620015661	0.04819976620015661	+1	ENSG00000113905
REAC:R-HSA-114608	Platelet degranulation 	0.0142363215746205	0.0142363215746205	+1	ENSG00000171557,ENSG00000113905,ENSG00000113889
REAC:R-HSA-76005	Response to elevated platelet cytosolic Ca2+	0.0142363215746205	0.0142363215746205	+1	ENSG00000171557,ENSG00000113905,ENSG00000113889
REAC:R-HSA-76002	Platelet activation, signaling and aggregation	0.0142363215746205	0.0142363215746205	+1	ENSG00000171557,ENSG00000113905,ENSG00000113889,ENSG00000108821
REAC:R-HSA-140877	Formation of Fibrin Clot (Clotting Cascade)	0.01679024800993767	0.01679024800993767	+1	ENSG00000171557,ENSG00000113889
REAC:R-HSA-76009	Platelet Aggregation (Plug Formation)	0.01679024800993767	0.01679024800993767	+1	ENSG00000171557,ENSG00000108821
REAC:R-HSA-1650814	Collagen biosynthesis and modifying enzymes	0.04220327068694587	0.04220327068694587	+1	ENSG00000149257,ENSG00000108821
