GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0048545	response to steroid hormone	0.0013018425391210908	0.0013018425391210908	+1	ENSG00000158874,ENSG00000121671,ENSG00000168209,ENSG00000133794,ENSG00000073756,ENSG00000132341,ENSG00000162551,ENSG00000004468,ENSG00000081307,ENSG00000152518,ENSG00000132646
GO:0051607	defense response to virus	0.0050552551871625405	0.0050552551871625405	+1	ENSG00000103490,ENSG00000142089,ENSG00000168209,ENSG00000148606,ENSG00000130303,ENSG00000121057,ENSG00000079785,ENSG00000105373,ENSG00000165949
GO:0140546	defense response to symbiont	0.0050552551871625405	0.0050552551871625405	+1	ENSG00000103490,ENSG00000142089,ENSG00000168209,ENSG00000148606,ENSG00000130303,ENSG00000121057,ENSG00000079785,ENSG00000105373,ENSG00000165949
GO:0031960	response to corticosteroid	0.005724267095425586	0.005724267095425586	+1	ENSG00000158874,ENSG00000168209,ENSG00000073756,ENSG00000132341,ENSG00000162551,ENSG00000152518,ENSG00000132646
GO:0002237	response to molecule of bacterial origin	0.006091087924764147	0.006091087924764147	+1	ENSG00000189067,ENSG00000006712,ENSG00000103490,ENSG00000064932,ENSG00000073756,ENSG00000172175,ENSG00000110324,ENSG00000162551,ENSG00000164047,ENSG00000197405
GO:1902570	protein localization to nucleolus	0.007058115418166753	0.007058115418166753	+1	ENSG00000179041,ENSG00000132341,ENSG00000105373
GO:0034504	protein localization to nucleus	0.008903344058078213	0.008903344058078213	+1	ENSG00000162645,ENSG00000138814,ENSG00000006712,ENSG00000121671,ENSG00000182541,ENSG00000179041,ENSG00000073756,ENSG00000132341,ENSG00000105373
GO:0032496	response to lipopolysaccharide	0.01582466679360463	0.01582466679360463	+1	ENSG00000189067,ENSG00000006712,ENSG00000103490,ENSG00000064932,ENSG00000073756,ENSG00000172175,ENSG00000110324,ENSG00000162551,ENSG00000164047
GO:0051384	response to glucocorticoid	0.01602326856874706	0.01602326856874706	+1	ENSG00000158874,ENSG00000168209,ENSG00000073756,ENSG00000162551,ENSG00000152518,ENSG00000132646
GO:0043281	regulation of cysteine-type endopeptidase activity involved in apoptotic process	0.01720286705038503	0.01720286705038503	+1	ENSG00000071994,ENSG00000103490,ENSG00000127946,ENSG00000073756,ENSG00000172175,ENSG00000101966,ENSG00000135596
GO:0046697	decidualization	0.01936945157850958	0.01936945157850958	+1	ENSG00000073756,ENSG00000171223,ENSG00000164442
GO:0060135	maternal process involved in female pregnancy	0.02344862843238385	0.02344862843238385	+1	ENSG00000105610,ENSG00000073756,ENSG00000171223,ENSG00000164442
GO:0060136	embryonic process involved in female pregnancy	0.024835525689053478	0.024835525689053478	+1	ENSG00000171223,ENSG00000164442
GO:2000323	negative regulation of glucocorticoid receptor signaling pathway	0.024835525689053478	0.024835525689053478	+1	ENSG00000121671,ENSG00000133794
GO:2000116	regulation of cysteine-type endopeptidase activity	0.028534653911360796	0.028534653911360796	+1	ENSG00000071994,ENSG00000103490,ENSG00000127946,ENSG00000073756,ENSG00000172175,ENSG00000101966,ENSG00000135596
GO:0048511	rhythmic process	0.03027028613695414	0.03027028613695414	+1	ENSG00000121671,ENSG00000213923,ENSG00000133794,ENSG00000183826,ENSG00000198783,ENSG00000116560,ENSG00000165030,ENSG00000132646
GO:2000322	regulation of glucocorticoid receptor signaling pathway	0.03143765347245024	0.03143765347245024	+1	ENSG00000121671,ENSG00000133794
GO:0000055	ribosomal large subunit export from nucleus	0.03143765347245024	0.03143765347245024	+1	ENSG00000179041,ENSG00000132341
GO:0035456	response to interferon-beta	0.03630056698341916	0.03630056698341916	+1	ENSG00000132530,ENSG00000142089,ENSG00000130303
GO:0060674	placenta blood vessel development	0.03630056698341916	0.03630056698341916	+1	ENSG00000174989,ENSG00000171223,ENSG00000184557
GO:2000321	positive regulation of T-helper 17 cell differentiation	0.03767788678824521	0.03767788678824521	+1	ENSG00000172175,ENSG00000144802
GO:0001893	maternal placenta development	0.0403943633770659	0.0403943633770659	+1	ENSG00000073756,ENSG00000171223,ENSG00000164442
GO:0030218	erythrocyte differentiation	0.0403943633770659	0.0403943633770659	+1	ENSG00000105610,ENSG00000164442,ENSG00000169877,ENSG00000081307,ENSG00000112305
GO:0034101	erythrocyte homeostasis	0.049737890500521284	0.049737890500521284	+1	ENSG00000105610,ENSG00000164442,ENSG00000169877,ENSG00000081307,ENSG00000112305
GO:0030522	intracellular receptor signaling pathway	0.049737890500521284	0.049737890500521284	+1	ENSG00000121671,ENSG00000133794,ENSG00000101966,ENSG00000164442,ENSG00000145365,ENSG00000105373,ENSG00000081307
REAC:R-HSA-909733	Interferon alpha/beta signaling	0.03928638647525849	0.03928638647525849	+1	ENSG00000162645,ENSG00000132530,ENSG00000142089,ENSG00000130303,ENSG00000184557,ENSG00000165949
