GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0019730	antimicrobial humoral response	0.021752934880625973	0.021752934880625973	+1	ENSG00000196415,ENSG00000008438,ENSG00000172232,ENSG00000163221,ENSG00000164047,ENSG00000198830,ENSG00000163220
GO:0042559	pteridine-containing compound biosynthetic process	0.026243832104010274	0.026243832104010274	+1	ENSG00000178700,ENSG00000228716,ENSG00000150787
GO:0007093	mitotic cell cycle checkpoint signaling	0.026243832104010274	0.026243832104010274	+1	ENSG00000094804,ENSG00000198783,ENSG00000075218,ENSG00000080986,ENSG00000040275,ENSG00000168411,ENSG00000122952
GO:0017014	protein nitrosylation	0.026243832104010274	0.026243832104010274	+1	ENSG00000143546,ENSG00000163220,ENSG00000198929
GO:0018119	peptidyl-cysteine S-nitrosylation	0.026243832104010274	0.026243832104010274	+1	ENSG00000143546,ENSG00000163220,ENSG00000198929
GO:1901991	negative regulation of mitotic cell cycle phase transition	0.026243832104010274	0.026243832104010274	+1	ENSG00000094804,ENSG00000198783,ENSG00000075218,ENSG00000080986,ENSG00000165617,ENSG00000040275,ENSG00000168411,ENSG00000122952
GO:0032196	transposition	0.026243832104010274	0.026243832104010274	+1	ENSG00000179750,ENSG00000134627,ENSG00000240563,ENSG00000184635
GO:0051306	mitotic sister chromatid separation	0.026843661783205172	0.026843661783205172	+1	ENSG00000094804,ENSG00000144535,ENSG00000080986,ENSG00000040275,ENSG00000122952
GO:0010948	negative regulation of cell cycle process	0.026843661783205172	0.026843661783205172	+1	ENSG00000094804,ENSG00000198783,ENSG00000075218,ENSG00000129173,ENSG00000162063,ENSG00000080986,ENSG00000165617,ENSG00000040275,ENSG00000168411,ENSG00000122952
GO:0007229	integrin-mediated signaling pathway	0.03040670973065036	0.03040670973065036	+1	ENSG00000109743,ENSG00000079385,ENSG00000162407,ENSG00000132470,ENSG00000005884,ENSG00000139626
GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide	0.039205653715446584	0.039205653715446584	+1	ENSG00000008438,ENSG00000163221,ENSG00000164047,ENSG00000198830,ENSG00000163220
GO:0002274	myeloid leukocyte activation	0.03924758351310378	0.03924758351310378	+1	ENSG00000101425,ENSG00000025434,ENSG00000123496,ENSG00000186431,ENSG00000172232,ENSG00000163221,ENSG00000186074,ENSG00000138772
GO:0000075	cell cycle checkpoint signaling	0.03980074430740013	0.03980074430740013	+1	ENSG00000094804,ENSG00000198783,ENSG00000075218,ENSG00000080986,ENSG00000040275,ENSG00000168411,ENSG00000122952
GO:0031581	hemidesmosome assembly	0.03980074430740013	0.03980074430740013	+1	ENSG00000132470,ENSG00000065618
GO:0050832	defense response to fungus	0.04795646129346472	0.04795646129346472	+1	ENSG00000005381,ENSG00000163221,ENSG00000143546,ENSG00000163220
GO:0045930	negative regulation of mitotic cell cycle	0.04795646129346472	0.04795646129346472	+1	ENSG00000094804,ENSG00000198783,ENSG00000075218,ENSG00000080986,ENSG00000165617,ENSG00000040275,ENSG00000168411,ENSG00000122952
GO:0006545	glycine biosynthetic process	0.04918908548539286	0.04918908548539286	+1	ENSG00000178700,ENSG00000228716
GO:0002695	negative regulation of leukocyte activation	0.04918908548539286	0.04918908548539286	+1	ENSG00000079385,ENSG00000101425,ENSG00000025434,ENSG00000123496,ENSG00000008438,ENSG00000186074,ENSG00000170677
